Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,47,9090,9137,Maubin,MMR017019
 Rural,5171,57496,62667,Maubin,MMR017019
 Total,5218,66586,71804,Maubin,MMR017019
