Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,61,1131,1192,Maukme`,MMR014020
 Rural,2496,3506,6002,Maukme`,MMR014020
 Total,2557,4637,7194,Maukme`,MMR014020
