Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,52,38755,38807,Mayangon,MMR013042
 Total,52,38755,38807,Mayangon,MMR013042
