Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,83,2383,2466,Ponnagyun,MMR012002
 Rural,2520,20349,22869,Ponnagyun,MMR012002
 Total,2603,22732,25335,Ponnagyun,MMR012002
