Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,271,2403,2674,Kangyidaunt,MMR017002
 Rural,5693,34599,40292,Kangyidaunt,MMR017002
 Total,5964,37002,42966,Kangyidaunt,MMR017002
