Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,160,8331,8491,Kyaukse,MMR010013
 Rural,15529,33745,49274,Kyaukse,MMR010013
 Total,15689,42076,57765,Kyaukse,MMR010013
