Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,13,8384,8397,Botahtaung,MMR013017
 Total,13,8384,8397,Botahtaung,MMR013017
