Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,19,1541,1560,Minelar,MMR016005
 Rural,579,3069,3648,Minelar,MMR016005
 Total,598,4610,5208,Minelar,MMR016005
