Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,113,2063,2176,Kyaikemaraw,MMR011002
 Rural,6352,30360,36712,Kyaikemaraw,MMR011002
 Total,6465,32423,38888,Kyaikemaraw,MMR011002
