Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,43,5374,5417,Kyaiklatt,MMR017025
 Rural,1093,37238,38331,Kyaiklatt,MMR017025
 Total,1136,42612,43748,Kyaiklatt,MMR017025
