Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,162,5780,5942,Hmawby,MMR013003
 Rural,3679,46848,50527,Hmawby,MMR013003
 Total,3841,52628,56469,Hmawby,MMR013003
