Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,71,590,661,Panlon(ST),MMR015021
 Rural,272,252,524,Panlon(ST),MMR015021
 Total,343,842,1185,Panlon(ST),MMR015021
