Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Rural,1285,8000,9285,Mine Pauk(ST),MMR016003
 Total,1285,8000,9285,Mine Pauk(ST),MMR016003
