Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,5,10938,10943,Ahlon,MMR013037
 Total,5,10938,10943,Ahlon,MMR013037
