Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,107,394,501,Pyinsalu(ST),MMR017016
 Rural,1994,17942,19936,Pyinsalu(ST),MMR017016
 Total,2101,18336,20437,Pyinsalu(ST),MMR017016
