Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,339,6864,7203,Labutta,MMR017016
 Rural,7416,40527,47943,Labutta,MMR017016
 Total,7755,47391,55146,Labutta,MMR017016
