Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,107,2939,3046,Einme,MMR017015
 Rural,5164,38245,43409,Einme,MMR017015
 Total,5271,41184,46455,Einme,MMR017015
