Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,47,33234,33281,Chanayeharzan,MMR010002
 Total,47,33234,33281,Chanayeharzan,MMR010002
