Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,341,2149,2490,Tada(ST),MMR013024
 Rural,927,6076,7003,Tada(ST),MMR013024
 Total,1268,8225,9493,Tada(ST),MMR013024
