Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,71,3495,3566,Daydaye,MMR017026
 Rural,3740,41304,45044,Daydaye,MMR017026
 Total,3811,44799,48610,Daydaye,MMR017026
