Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,28,1302,1330,Le`char,MMR014012
 Rural,2202,5258,7460,Le`char,MMR014012
 Total,2230,6560,8790,Le`char,MMR014012
