Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,430,1789,2219,Mongkai,MMR014016
 Rural,4628,9485,14113,Mongkai,MMR014016
 Total,5058,11274,16332,Mongkai,MMR014016
