Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,47,11668,11715,Thanbyuzayat,MMR011004
 Rural,1135,23384,24519,Thanbyuzayat,MMR011004
 Total,1182,35052,36234,Thanbyuzayat,MMR011004
