Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,127,4593,4720,Thazi,MMR010030
 Rural,17407,22765,40172,Thazi,MMR010030
 Total,17534,27358,44892,Thazi,MMR010030
