Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,486,49248,49734,Mawlamyine,MMR011001
 Rural,553,7170,7723,Mawlamyine,MMR011001
 Total,1039,56418,57457,Mawlamyine,MMR011001
