Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,31,2822,2853,Loilem,MMR014011
 Rural,476,7572,8048,Loilem,MMR014011
 Total,507,10394,10901,Loilem,MMR014011
