Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,196,2037,2233,Momeik,MMR015017
 Rural,4198,7221,11419,Momeik,MMR015017
 Total,4394,9258,13652,Momeik,MMR015017
