Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,88,16542,16630,Amarapura,MMR010006
 Rural,4120,28876,32996,Amarapura,MMR010006
 Total,4208,45418,49626,Amarapura,MMR010006
