Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,154,2316,2470,Pauktaw,MMR012007
 Rural,3975,24099,28074,Pauktaw,MMR012007
 Total,4129,26415,30544,Pauktaw,MMR012007
