Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,79,1977,2056,Htantabin,MMR013006
 Rural,4436,27719,32155,Htantabin,MMR013006
 Total,4515,29696,34211,Htantabin,MMR013006
