Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,488,1169,1657,Ngazun,MMR010021
 Rural,14982,11199,26181,Ngazun,MMR010021
 Total,15470,12368,27838,Ngazun,MMR010021
