Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,42,5138,5180,Danubyu,MMR017022
 Rural,9382,30235,39617,Danubyu,MMR017022
 Total,9424,35373,44797,Danubyu,MMR017022
