Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,267,1830,2097,Kengtaung(ST),MMR014019
 Rural,62,102,164,Kengtaung(ST),MMR014019
 Total,329,1932,2261,Kengtaung(ST),MMR014019
