Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,122,464,586,Minelon(ST),MMR015012
 Rural,1322,3948,5270,Minelon(ST),MMR015012
 Total,1444,4412,5856,Minelon(ST),MMR015012
