Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,99,459,558,Minekat,MMR016002
 Rural,3435,4032,7467,Minekat,MMR016002
 Total,3534,4491,8025,Minekat,MMR016002
