Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,-,67,67,Makman,MMR015024
 Rural,134,3117,3251,Makman,MMR015024
 Total,134,3184,3318,Makman,MMR015024
