Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,284,10422,10706,Thaton,MMR011007
 Rural,3637,33941,37578,Thaton,MMR011007
 Total,3921,44363,48284,Thaton,MMR011007
