Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,146,3717,3863,Taungtha,MMR010018
 Rural,20554,25435,45989,Taungtha,MMR010018
 Total,20700,29152,49852,Taungtha,MMR010018
