Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,38,2024,2062,Buthidaung,MMR012010
 Rural,961,8241,9202,Buthidaung,MMR012010
 Total,999,10265,11264,Buthidaung,MMR012010
