Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,516,31425,31941,Pyin Oo Lwin,MMR010008
 Rural,5242,16199,21441,Pyin Oo Lwin,MMR010008
 Total,5758,47624,53382,Pyin Oo Lwin,MMR010008
