Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,4,8595,8599,Lanmadaw,MMR013035
 Total,4,8595,8599,Lanmadaw,MMR013035
