Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,233,16453,16686,Mogok,MMR010011
 Rural,1479,17082,18561,Mogok,MMR010011
 Total,1712,33535,35247,Mogok,MMR010011
