Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,196,33903,34099,Lashio,MMR015001
 Rural,8971,21862,30833,Lashio,MMR015001
 Total,9167,55765,64932,Lashio,MMR015001
