Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,141,5170,5311,Madaya,MMR010009
 Rural,17517,35817,53334,Madaya,MMR010009
 Total,17658,40987,58645,Madaya,MMR010009
