Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,135,10959,11094,Tachileik,MMR016009
 Rural,519,19566,20085,Tachileik,MMR016009
 Total,654,30525,31179,Tachileik,MMR016009
