Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,99,2667,2766,Yekyi,MMR017006
 Rural,6385,18651,25036,Yekyi,MMR017006
 Total,6484,21318,27802,Yekyi,MMR017006
