Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,248,58263,58511,Shwepyitha,MMR013007
 Rural,105,15159,15264,Shwepyitha,MMR013007
 Total,353,73422,73775,Shwepyitha,MMR013007
