Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,266,5040,5306,Kyangin,MMR017012
 Rural,9995,11556,21551,Kyangin,MMR017012
 Total,10261,16596,26857,Kyangin,MMR017012
