Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,-,231,231,Mineyu(ST),MMR016011
 Rural,516,10120,10636,Mineyu(ST),MMR016011
 Total,516,10351,10867,Mineyu(ST),MMR016011
