Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,88,1652,1740,Thapaung,MMR017003
 Rural,7979,27518,35497,Thapaung,MMR017003
 Total,8067,29170,37237,Thapaung,MMR017003
