Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,115,1763,1878,An,MMR012014
 Rural,5343,20138,25481,An,MMR012014
 Total,5458,21901,27359,An,MMR012014
