Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,170,7413,7583,Mawlamyinegyun,MMR017018
 Rural,8682,58621,67303,Mawlamyinegyun,MMR017018
 Total,8852,66034,74886,Mawlamyinegyun,MMR017018
