Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,273,5404,5677,Yatsauk,MMR014008
 Rural,5613,14667,20280,Yatsauk,MMR014008
 Total,5886,20071,25957,Yatsauk,MMR014008
