Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,116,8986,9102,Kengtung,MMR016001
 Rural,3248,21746,24994,Kengtung,MMR016001
 Total,3364,30732,34096,Kengtung,MMR016001
