Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,75,45381,45456,Thakayta,MMR013013
 Total,75,45381,45456,Thakayta,MMR013013
