Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,40,35320,35360,Tamway,MMR013015
 Total,40,35320,35360,Tamway,MMR013015
