Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,74,5826,5900,Nyaungdon,MMR017021
 Rural,5261,40040,45301,Nyaungdon,MMR017021
 Total,5335,45866,51201,Nyaungdon,MMR017021
