Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,254,1494,1748,Kholan(ST),MMR014013
 Rural,663,1953,2616,Kholan(ST),MMR014013
 Total,917,3447,4364,Kholan(ST),MMR014013
