Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,119,4496,4615,Minbya,MMR012005
 Rural,3334,28679,32013,Minbya,MMR012005
 Total,3453,33175,36628,Minbya,MMR012005
