Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,257,958,1215,Maei(ST),MMR012016
 Rural,2428,6310,8738,Maei(ST),MMR012016
 Total,2685,7268,9953,Maei(ST),MMR012016
