Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,34,568,602,Kyauktalongyi(ST),MMR014001
 Rural,1823,9840,11663,Kyauktalongyi(ST),MMR014001
 Total,1857,10408,12265,Kyauktalongyi(ST),MMR014001
