Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,29,1930,1959,Minepan,MMR014021
 Rural,814,2648,3462,Minepan,MMR014021
 Total,843,4578,5421,Minepan,MMR014021
