Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,446,23517,23963,Meiktila,MMR010028
 Rural,19922,24554,44476,Meiktila,MMR010028
 Total,20368,48071,68439,Meiktila,MMR010028
