Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,76,5148,5224,Panglong(ST),MMR014011
 Rural,789,8503,9292,Panglong(ST),MMR014011
 Total,865,13651,14516,Panglong(ST),MMR014011
